"","featureid","zone","riparian_distance_ft","agriculture","alloffnet","allonnet","ann_tmax_c","ann_tmin_c","apr_prcp_mm","AreaSqKM","aug_prcp_mm","dec_prcp_mm","deg_barr_1","deg_barr_2","deg_barr_3","deg_barr_4","deg_barr_5","deg_barr_6","deg_barr_7","deg_barr_all","dep_no3_2011","dep_so4_2011","devel_hi","devel_low","devel_med","devel_opn","developed","drainageclass","elevation","feb_prcp_mm","forest","forest_decid","forest_evgrn","forest_mixed","fwsopenwater","fwswetlands","herbaceous","hydrogroup_a","hydrogroup_ab","hydrogroup_cd","hydrogroup_d1","hydrogroup_d4","impervious","jan_prcp_mm","jul_prcp_mm","jun_prcp_mm","mar_prcp_mm","may_prcp_mm","nov_prcp_mm","oct_prcp_mm","openoffnet","openonnet","percent_sandy","sep_prcp_mm","slope_pcnt","surfcoarse","tree_canopy","undev_forest","water","wetland"
"11","201473448","upstream","200"," 0.0000000"," 0.0000000"," 14.7059000",NA,NA,NA,"1.24642e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.84553","778.2430",NA," 95.58820"," 59.558800","16.176500"," 19.852900","0.00000e+00"," 14.7059000"," 4.4117600","0.00000e+00"," 42.6471000"," 48.529400","13.2353000"," 13.2353000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA," 9.6134300","0.00000e+00","83.4926000"," 95.58820","0.00000e+00"," 24.2647000"
"12","201473448","upstream",NA," 0.0000000"," 5.1000000"," 11.2000000","10.32450","-1.317400000","145.7880","9.00000e-01","138.8120","151.2640"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.44020","13.56080"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.94980","797.8430","130.2180"," 98.50000"," 67.500000"," 6.900000"," 24.100000","0.00000e+00"," 16.3000000"," 1.5000000","0.00000e+00"," 40.9000000"," 56.100000","15.8000000"," 15.8000000","0.00000e+00","143.2690","145.4940","157.025","146.3940","146.074","160.086","168.495","0.00000000","0.00000e+00","  0.0000000","138.606"," 9.2689600","0.00000e+00","85.1210000"," 98.50000","0.00000e+00"," 20.0000000"
"13","201473449","local","200"," 0.0000000"," 0.0000000","  0.0000000",NA,NA,NA,"1.33126e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.00000","748.4000",NA,"100.00000","100.000000"," 0.000000","  0.000000","0.00000e+00","  0.0000000"," 0.0000000","0.00000e+00"," 20.0000000"," 80.000000"," 0.0000000","  0.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA,"13.1018000","0.00000e+00","87.7333000","100.00000","0.00000e+00","  0.0000000"
"14","201473449","local",NA," 0.0000000"," 0.0000000","  0.0000000","10.19280","-1.545620000","143.0580","1.80000e-02","138.7200","150.4360"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.44720","13.57020"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.80000","750.0000","129.8110","100.00000"," 90.000000","10.000000","  0.000000","0.00000e+00","  0.0000000"," 0.0000000","0.00000e+00"," 40.0000000"," 60.000000"," 0.0000000","  0.0000000","0.00000e+00","142.6380","143.8120","156.301","144.8860","144.688","159.277","167.356","0.00000000","0.00000e+00","  0.0000000","138.556","14.2791000","0.00000e+00","87.7000000","100.00000","0.00000e+00","  0.0000000"
"15","201473449","upstream","200"," 0.0000000"," 0.0000000"," 20.0000000",NA,NA,NA,"4.91927e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.30826","802.8200",NA,"100.00000"," 44.770600","11.009200"," 44.220200","1.10092e+00"," 18.7156000"," 0.0000000","0.00000e+00"," 47.8899000"," 52.110100","40.0000000"," 40.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.36697200","7.33945e-01","  0.0000000",NA,"12.1964000","0.00000e+00","83.5890000","100.00000","0.00000e+00"," 28.9908000"
"16","201473449","upstream",NA," 0.0000000"," 0.3913490","  3.5221400"," 9.94725","-1.283950000","144.3050","4.36950e+00","146.3890","147.1010"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.52910","13.62840"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.45932","904.1970","126.7540"," 99.40270"," 60.514900","28.259500"," 10.628200","1.64779e-01","  3.7281200"," 0.5973220","0.00000e+00"," 24.0165000"," 75.983500","57.9609000"," 57.9609000","0.00000e+00","143.1150","145.6110","165.781","147.8680","148.360","163.611","173.450","0.08238930","8.23893e-02","  0.0000000","146.705","15.9174000","0.00000e+00","86.4006000"," 99.40270","0.00000e+00","  5.1699300"
"17","201473554","local","200"," 0.0000000"," 0.0000000","  0.0000000",NA,NA,NA,"9.22216e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.60784","730.9510",NA,"100.00000"," 83.333300","16.666700","  0.000000","0.00000e+00","  0.0000000"," 0.0000000","0.00000e+00"," 50.0000000"," 50.000000"," 0.0000000","  0.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA,"14.0906000","0.00000e+00","87.5490000","100.00000","0.00000e+00","  0.0000000"
"18","201473554","local",NA," 0.0000000"," 5.3968300","  0.0000000","10.36720","-1.160730000","143.7960","1.70100e+00","137.7690","151.5490"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.38800","13.52610"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.27143","784.6940","128.7820","100.00000"," 88.465600"," 2.486770","  9.047620","0.00000e+00","  5.3968300"," 0.0000000","0.00000e+00"," 15.4497000"," 84.550300"," 9.8412700","  9.8412700","0.00000e+00","142.9400","144.2140","156.344","145.3980","146.230","158.449","168.451","0.00000000","0.00000e+00","  0.0000000","137.807","11.0342000","0.00000e+00","87.3481000","100.00000","0.00000e+00","  6.7724900"
"19","201473554","upstream","200"," 0.0000000"," 0.0000000"," 16.4751000",NA,NA,NA,"7.08790e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.14156","789.1890",NA," 99.23370"," 52.362700","12.643700"," 34.227300","7.66284e-01"," 15.5811000"," 0.7662840","0.00000e+00"," 47.2542000"," 51.213300","30.1405000"," 30.1405000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.25542800","5.10856e-01","  0.0000000",NA,"11.9945000","0.00000e+00","84.0881000"," 99.23370","0.00000e+00"," 24.3934000"
"20","201473554","upstream",NA," 0.0000000"," 2.2207900","  3.6539700","10.09840","-1.258200000","144.3720","6.97050e+00","143.3070","148.7240"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.48320","13.59470"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.72011","861.3030","127.6960"," 99.43190"," 68.237600","19.212400"," 11.981900","1.03292e-01","  5.7585500"," 0.5681080","0.00000e+00"," 24.1059000"," 75.506800","40.7747000"," 40.7747000","0.00000e+00","143.0920","145.2550","162.347","147.0750","147.545","161.896","171.590","0.05164620","5.16462e-02","  0.0000000","143.488","13.8673000","0.00000e+00","86.4666000"," 99.43190","0.00000e+00","  7.4757900"
"21","201473555","local","200"," 0.0000000"," 0.0000000"," 23.4848000",NA,NA,NA,"1.19383e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.16667","763.8940",NA,"100.00000"," 73.484800"," 0.000000"," 26.515200","1.51515e+00"," 20.4545000"," 0.0000000","0.00000e+00"," 26.5152000"," 73.484800","25.0000000"," 25.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.75757600","7.57576e-01","  0.0000000",NA,"13.1220000","0.00000e+00","84.4697000","100.00000","0.00000e+00"," 26.5152000"
"22","201473555","local",NA," 0.0000000"," 0.3371260","  1.9806200"," 9.93080","-1.268380000","140.0270","2.13570e+00","143.4760","143.3820"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.48360","13.59880"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.33333","874.3490","122.6550"," 99.62070"," 73.451300","21.660300","  4.509060","1.68563e-01","  2.0227600"," 0.3792670","0.00000e+00","  8.0488800"," 91.951100","65.5289000"," 65.5289000","0.00000e+00","138.9380","140.9890","161.039","143.4010","144.650","158.961","168.552","0.12642200","4.21407e-02","  0.0000000","143.729","15.7320000","0.00000e+00","86.4640000"," 99.62070","0.00000e+00","  2.9498500"
"23","201473555","upstream","200"," 0.0000000"," 0.0000000"," 23.4848000",NA,NA,NA,"1.19383e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.16667","763.8940",NA,"100.00000"," 73.484800"," 0.000000"," 26.515200","1.51515e+00"," 20.4545000"," 0.0000000","0.00000e+00"," 26.5152000"," 73.484800","25.0000000"," 25.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.75757600","7.57576e-01","  0.0000000",NA,"13.1220000","0.00000e+00","84.4697000","100.00000","0.00000e+00"," 26.5152000"
"24","201473555","upstream",NA," 0.0000000"," 0.3371260","  1.9806200"," 9.93080","-1.268380000","140.0270","2.13570e+00","143.4760","143.3820"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.48360","13.59880"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.33333","874.3490","122.6550"," 99.62070"," 73.451300","21.660300","  4.509060","1.68563e-01","  2.0227600"," 0.3792670","0.00000e+00","  8.0488800"," 91.951100","65.5289000"," 65.5289000","0.00000e+00","138.9380","140.9890","161.039","143.4010","144.650","158.961","168.552","0.12642200","4.21407e-02","  0.0000000","143.729","15.7320000","0.00000e+00","86.4640000"," 99.62070","0.00000e+00","  2.9498500"
"25","201473682","local","200"," 0.0000000"," 0.0000000","  0.0000000",NA,NA,NA,"1.59320e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.76536","701.3130",NA,"100.00000"," 43.016800","37.988800"," 18.994400","0.00000e+00","  0.0000000"," 0.0000000","0.00000e+00"," 56.4246000"," 22.346400"," 0.0000000","  0.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA," 9.2455200","2.12290e+01","87.1173000","100.00000","0.00000e+00","  0.0000000"
"26","201473682","local",NA," 0.0000000"," 0.0000000","  0.0000000","10.15230","-1.792190000","135.4740","1.08540e+00","134.9260","143.0320"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.21020","13.36570"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.84743","737.6380","121.2500","100.00000"," 86.898800"," 8.374790","  4.726370","0.00000e+00","  0.0000000"," 0.0000000","0.00000e+00"," 28.1924000"," 68.325000"," 8.9552200","  8.9552200","0.00000e+00","134.5310","136.2180","149.446","137.0880","139.017","149.909","159.404","0.00000000","0.00000e+00","  0.0000000","134.949","15.3097000","3.48259e+00","87.2454000","100.00000","0.00000e+00","  0.0000000"
"27","201473682","upstream","200"," 0.0000000"," 0.0000000"," 14.6252000",NA,NA,NA,"9.87493e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.08233","771.7590",NA," 99.45160"," 53.382100","15.265100"," 30.804400","7.31261e-01"," 13.6197000"," 0.5484460","0.00000e+00"," 46.2523000"," 49.177300","24.5887000"," 24.5887000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.27422300","4.57038e-01","  0.0000000",NA,"11.6808000","3.47349e+00","84.6298000"," 99.45160","0.00000e+00"," 20.6581000"
"28","201473682","upstream",NA," 0.0000000"," 1.5895400","  2.9141600","10.06900","-1.317200000","142.5140","1.01916e+01","142.4500","146.9980"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.45420","13.57120"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.65248","850.8660","125.9530"," 99.53200"," 71.317600","18.571200","  9.643240","1.05970e-01","  4.3624200"," 0.4680330","0.00000e+00"," 21.1763000"," 78.187900","42.5733000"," 42.5733000","0.00000e+00","141.3100","143.3990","160.699","145.2420","146.030","160.005","169.656","0.06181560","4.41540e-02","  0.0000000","142.629","14.4117000","3.70894e-01","86.5490000"," 99.53200","0.00000e+00","  5.7311900"
"29","201473683","local","200"," 0.0000000"," 0.0000000"," 27.3810000",NA,NA,NA,"7.51550e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.52055","715.2020",NA,"100.00000"," 44.047600","13.095200"," 42.857100","0.00000e+00"," 27.3810000"," 0.0000000","0.00000e+00","  4.7619000"," 84.523800"," 8.3333300","  8.3333300","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA," 9.4550400","0.00000e+00","81.6310000","100.00000","0.00000e+00"," 30.9524000"
"30","201473683","local",NA," 0.0000000"," 0.0000000","  6.3684600","10.01290","-1.950650000","132.0990","1.18710e+00","135.9850","137.4280"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.10420","13.25840"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.33282","774.5320","116.7890"," 99.62090"," 84.912800"," 5.610310","  9.097800","0.00000e+00","  6.3684600"," 0.3790750","0.00000e+00"," 13.8741000"," 84.078800","11.4481000"," 11.4481000","0.00000e+00","130.4590","131.8700","150.265","134.3570","136.956","148.887","157.830","0.00000000","0.00000e+00","  0.0000000","136.156","13.9788000","0.00000e+00","86.3503000"," 99.62090","0.00000e+00","  7.4298700"
"31","201473683","upstream","200"," 0.0000000"," 0.0000000"," 27.3810000",NA,NA,NA,"7.51550e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.52055","715.2020",NA,"100.00000"," 44.047600","13.095200"," 42.857100","0.00000e+00"," 27.3810000"," 0.0000000","0.00000e+00","  4.7619000"," 84.523800"," 8.3333300","  8.3333300","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","0.00000e+00","  0.0000000",NA," 9.4550400","0.00000e+00","81.6310000","100.00000","0.00000e+00"," 30.9524000"
"32","201473683","upstream",NA," 0.0000000"," 0.0000000","  6.3684600","10.01290","-1.950650000","132.0990","1.18710e+00","135.9850","137.4280"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.10420","13.25840"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.33282","774.5320","116.7890"," 99.62090"," 84.912800"," 5.610310","  9.097800","0.00000e+00","  6.3684600"," 0.3790750","0.00000e+00"," 13.8741000"," 84.078800","11.4481000"," 11.4481000","0.00000e+00","130.4590","131.8700","150.265","134.3570","136.956","148.887","157.830","0.00000000","0.00000e+00","  0.0000000","136.156","13.9788000","0.00000e+00","86.3503000"," 99.62090","0.00000e+00","  7.4298700"
"33","201473794","local","200"," 0.0000000"," 0.2898550"," 35.3623000",NA,NA,NA,"3.14316e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.57353","774.0430",NA,"100.00000"," 44.927500"," 4.637680"," 50.434800","8.69565e-01"," 34.4928000"," 0.0000000","0.00000e+00"," 53.9130000"," 44.927500"," 4.6376800","  4.6376800","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","8.69565e-01","  0.0000000",NA,"10.7539000","0.00000e+00","84.1913000","100.00000","0.00000e+00"," 37.6812000"
"34","201473794","local",NA," 0.0000000"," 0.2704160"," 11.3575000","10.41050","-0.810218000","145.3140","1.66410e+00","138.2650","156.2770"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.20380","13.38070"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.63829","803.7930","132.8140","100.00000"," 63.980500"," 2.325580"," 33.693900","1.62250e-01"," 11.4116000"," 0.0000000","0.00000e+00"," 43.0503000"," 56.679300"," 0.8653330","  0.8653330","0.00000e+00","143.8830","148.5710","156.165","145.5470","148.559","158.724","167.552","0.00000000","1.62250e-01","  0.0000000","137.924","13.5846000","0.00000e+00","86.4310000","100.00000","0.00000e+00"," 11.8983000"
"35","201473794","upstream","200"," 0.0000000"," 0.2898550"," 35.3623000",NA,NA,NA,"3.14316e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.57353","774.0430",NA,"100.00000"," 44.927500"," 4.637680"," 50.434800","8.69565e-01"," 34.4928000"," 0.0000000","0.00000e+00"," 53.9130000"," 44.927500"," 4.6376800","  4.6376800","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","8.69565e-01","  0.0000000",NA,"10.7539000","0.00000e+00","84.1913000","100.00000","0.00000e+00"," 37.6812000"
"36","201473794","upstream",NA," 0.0000000"," 0.2704160"," 11.3575000","10.41050","-0.810218000","145.3140","1.66410e+00","138.2650","156.2770"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.20380","13.38070"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.63829","803.7930","132.8140","100.00000"," 63.980500"," 2.325580"," 33.693900","1.62250e-01"," 11.4116000"," 0.0000000","0.00000e+00"," 43.0503000"," 56.679300"," 0.8653330","  0.8653330","0.00000e+00","143.8830","148.5710","156.165","145.5470","148.559","158.724","167.552","0.00000000","1.62250e-01","  0.0000000","137.924","13.5846000","0.00000e+00","86.4310000","100.00000","0.00000e+00"," 11.8983000"
"37","201473795","local","200"," 0.0000000"," 0.0000000"," 12.3967000",NA,NA,NA,"2.17781e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","3.84753","768.2810",NA," 97.52070"," 72.314000"," 7.024790"," 18.181800","4.13223e-01"," 11.1570000"," 2.4793400","0.00000e+00"," 30.5785000"," 62.809900"," 0.0000000","  0.0000000","0.00000e+00",NA,NA,NA,NA,NA,NA,NA,"0.00000000","4.13223e-01","  0.0000000",NA," 8.5803600","0.00000e+00","80.7810000"," 97.52070","0.00000e+00"," 13.2231000"
"38","201473795","local",NA," 0.0000000"," 0.1018330","  3.1568200","10.37870","-1.086980000","141.7990","8.83800e-01","136.6390","151.0520"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14.19680","13.36650"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000"," 0.0000000","4.08004","786.4760","127.7020"," 99.38900"," 82.892100"," 4.684320"," 11.812600","1.01833e-01","  2.9531600"," 0.6109980","0.00000e+00"," 11.0998000"," 87.169000"," 0.1018330","  0.1018330","0.00000e+00","141.4750","144.4490","154.246","143.3790","145.996","155.788","165.523","0.00000000","1.01833e-01","  0.0000000","137.005"," 8.9741000","0.00000e+00","85.5570000"," 99.38900","0.00000e+00","  4.1751500"
