question,expert_ID,species,pr_occ,drainage,s.drainage,width,s.width,temp,s.temp,riparian,s.riparian,upland,s.upland,trout
3,1,EUBI,0.70,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.65,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.55,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.40,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,1,EUBI,0.20,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.95,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.92,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.91,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.89,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.88,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.85,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.83,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.80,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,2,DEFU,0.60,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.85,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.83,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.81,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.75,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.70,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.65,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.55,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.40,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,2,GYPO,0.20,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.85,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.80,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.75,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.70,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.70,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.70,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.65,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.55,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.40,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,2,EUBI,0.20,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.96,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.94,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.92,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.85,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.80,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.75,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.70,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.50,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,3,DEFU,0.40,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.92,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.90,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.88,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.85,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.85,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.85,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.83,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.81,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.75,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,3,GYPO,0.70,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.93,0.75,-0.0366,0.5,-0.3507,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.92,1,-0.0325,1,-0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.91,2,-0.0162,2,-0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.85,4,0.0162,3,0.0877,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.85,5,0.0325,3.5,0.1753,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.85,10,0.1137,4,0.2630,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.80,15,0.1950,5,0.4384,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.75,40,0.6011,8,0.9644,16,0.0000,100,0.0000,50,0.0000,0
3,3,EUBI,0.60,200,3.2005,20,3.0685,16,0.0000,100,0.0000,50,0.0000,0
4,1,DEFU,0.70,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,1,DEFU,0.75,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,1,DEFU,0.80,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,1,DEFU,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,1,DEFU,0.80,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,1,DEFU,0.80,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,1,DEFU,0.75,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,1,DEFU,0.75,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,1,DEFU,0.75,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,1,DEFU,0.70,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,1,DEFU,0.70,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,1,DEFU,0.65,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,1,DEFU,0.60,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,1,DEFU,0.55,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,1,DEFU,0.50,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,1,GYPO,0.70,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,1,GYPO,0.75,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,1,GYPO,0.80,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,1,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,1,GYPO,0.80,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,1,GYPO,0.80,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,1,GYPO,0.75,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,1,GYPO,0.75,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,1,GYPO,0.75,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,1,GYPO,0.70,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,1,GYPO,0.70,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,1,GYPO,0.65,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,1,GYPO,0.60,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,1,GYPO,0.55,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,1,GYPO,0.50,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,1,EUBI,0.70,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,1,EUBI,0.75,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,1,EUBI,0.80,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,1,EUBI,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,1,EUBI,0.80,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,1,EUBI,0.80,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,1,EUBI,0.75,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,1,EUBI,0.75,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,1,EUBI,0.75,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,1,EUBI,0.70,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,1,EUBI,0.70,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,1,EUBI,0.65,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,1,EUBI,0.60,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,1,EUBI,0.55,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,1,EUBI,0.50,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,2,DEFU,0.85,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,2,DEFU,0.88,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,2,DEFU,0.90,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,2,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,2,DEFU,0.90,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,2,DEFU,0.90,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,2,DEFU,0.88,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,2,DEFU,0.88,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,2,DEFU,0.88,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,2,DEFU,0.85,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,2,DEFU,0.85,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,2,DEFU,0.75,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,2,DEFU,0.75,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,2,DEFU,0.70,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,2,DEFU,0.70,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,2,GYPO,0.75,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,2,GYPO,0.80,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,2,GYPO,0.80,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,2,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,2,GYPO,0.80,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,2,GYPO,0.80,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,2,GYPO,0.75,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,2,GYPO,0.75,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,2,GYPO,0.75,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,2,GYPO,0.70,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,2,GYPO,0.70,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,2,GYPO,0.65,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,2,GYPO,0.60,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,2,GYPO,0.55,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,2,GYPO,0.50,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,2,EUBI,0.60,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,2,EUBI,0.70,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,2,EUBI,0.70,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,2,EUBI,0.70,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,2,EUBI,0.70,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,2,EUBI,0.70,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,2,EUBI,0.70,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,2,EUBI,0.60,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,2,EUBI,0.60,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,2,EUBI,0.60,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,2,EUBI,0.50,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,2,EUBI,0.50,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,2,EUBI,0.40,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,2,EUBI,0.40,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,2,EUBI,0.30,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,3,DEFU,0.70,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,3,DEFU,0.80,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,3,DEFU,0.90,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,3,DEFU,0.80,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,3,DEFU,0.80,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,3,DEFU,0.80,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,3,DEFU,0.70,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,3,DEFU,0.50,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,3,DEFU,0.50,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,3,GYPO,0.70,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,3,GYPO,0.80,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,3,GYPO,0.85,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,3,GYPO,0.85,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,3,GYPO,0.85,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,3,GYPO,0.85,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,3,GYPO,0.85,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,3,GYPO,0.75,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,3,GYPO,0.75,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,3,GYPO,0.75,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,3,GYPO,0.60,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,3,GYPO,0.60,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,3,GYPO,0.40,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,3,GYPO,0.30,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,3,GYPO,0.20,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
4,3,EUBI,0.70,3,0.0000,2.5,0.0000,10,-0.6708,100,0.0000,50,0.0000,0
4,3,EUBI,0.80,3,0.0000,2.5,0.0000,12,-0.4472,100,0.0000,50,0.0000,0
4,3,EUBI,0.90,3,0.0000,2.5,0.0000,14,-0.2236,100,0.0000,50,0.0000,0
4,3,EUBI,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
4,3,EUBI,0.90,3,0.0000,2.5,0.0000,18,0.2236,100,0.0000,50,0.0000,0
4,3,EUBI,0.90,3,0.0000,2.5,0.0000,20,0.4472,100,0.0000,50,0.0000,0
4,3,EUBI,0.85,3,0.0000,2.5,0.0000,22,0.6708,100,0.0000,50,0.0000,0
4,3,EUBI,0.83,3,0.0000,2.5,0.0000,24,0.8944,100,0.0000,50,0.0000,0
4,3,EUBI,0.82,3,0.0000,2.5,0.0000,26,1.1180,100,0.0000,50,0.0000,0
4,3,EUBI,0.81,3,0.0000,2.5,0.0000,28,1.3416,100,0.0000,50,0.0000,0
4,3,EUBI,0.80,3,0.0000,2.5,0.0000,30,1.5652,100,0.0000,50,0.0000,0
4,3,EUBI,0.70,3,0.0000,2.5,0.0000,32,1.7889,100,0.0000,50,0.0000,0
4,3,EUBI,0.60,3,0.0000,2.5,0.0000,34,2.0125,100,0.0000,50,0.0000,0
4,3,EUBI,0.50,3,0.0000,2.5,0.0000,36,2.2361,100,0.0000,50,0.0000,0
4,3,EUBI,0.40,3,0.0000,2.5,0.0000,38,2.4597,100,0.0000,50,0.0000,0
6,1,DEFU,0.01,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,0,-1.0000,0
6,1,DEFU,0.20,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,0,-1.0000,0
6,1,DEFU,0.50,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,0,-1.0000,0
6,1,DEFU,0.30,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,50,0.0000,0
6,1,DEFU,0.50,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,50,0.0000,0
6,1,DEFU,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
6,1,DEFU,0.40,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,100,1.0000,0
6,1,DEFU,0.70,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,100,1.0000,0
6,1,DEFU,0.99,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,100,1.0000,0
6,1,GYPO,0.01,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,0,-1.0000,0
6,1,GYPO,0.20,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,0,-1.0000,0
6,1,GYPO,0.50,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,0,-1.0000,0
6,1,GYPO,0.30,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,50,0.0000,0
6,1,GYPO,0.50,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,50,0.0000,0
6,1,GYPO,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
6,1,GYPO,0.40,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,100,1.0000,0
6,1,GYPO,0.70,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,100,1.0000,0
6,1,GYPO,0.99,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,100,1.0000,0
6,1,EUBI,0.01,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,0,-1.0000,0
6,1,EUBI,0.20,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,0,-1.0000,0
6,1,EUBI,0.50,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,0,-1.0000,0
6,1,EUBI,0.30,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,50,0.0000,0
6,1,EUBI,0.50,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,50,0.0000,0
6,1,EUBI,0.80,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
6,1,EUBI,0.40,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,100,1.0000,0
6,1,EUBI,0.70,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,100,1.0000,0
6,1,EUBI,0.99,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,100,1.0000,0
6,2,DEFU,0.01,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,0,-1.0000,0
6,2,DEFU,0.20,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,0,-1.0000,0
6,2,DEFU,0.50,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,0,-1.0000,0
6,2,DEFU,0.30,3,0.0000,2.5,0.0000,16,0.0000,0,-2.0000,50,0.0000,0
6,2,DEFU,0.50,3,0.0000,2.5,0.0000,16,0.0000,50,-1.0000,50,0.0000,0
6,2,DEFU,0.90,3,0.0000,2.5,0.0000,16,0.0000,100,0.0000,50,0.0000,0
